date,channel,spend
2019-01-13,Display,
2019-01-15,Search,
2019-01-17,Search,
2019-01-18,Search,
2019-01-19,Search,
2019-01-21,Search,
2019-01-22,Search,
2019-01-23,Search,
2019-01-24,Search,
2019-01-25,Search,
2019-01-27,Search,
2019-01-30,Display,
2019-01-31,Search,
2019-02-02,Search,
2019-02-03,Search,
2019-02-04,Search,
2019-02-05,Search,
2019-02-06,Search,
2019-02-07,Search,
2019-02-08,Search,
2019-02-09,Display,
2019-02-09,Search,
2019-02-10,Display,
2019-02-11,Search,
2019-02-12,Display,
2019-02-12,Facebook,
2019-02-12,Search,
2019-02-13,Email,0.05
2019-02-13,Search,
2019-02-14,Organic,0.0
2019-02-15,Display,
2019-02-15,Organic,0.0
2019-02-15,Search,
2019-02-17,Display,
2019-02-18,Facebook,
2019-02-18,Organic,0.0
2019-02-19,Organic,0.0
2019-02-21,Facebook,
2019-02-22,Organic,0.0
2019-02-24,Organic,0.0
2019-02-27,Search,
2019-02-28,Search,
2019-03-01,Search,
2019-03-02,Display,
2019-03-03,Search,
2019-03-04,Organic,0.0
2019-03-04,Search,
2019-03-05,Organic,0.0
2019-03-05,Search,
2019-03-06,Display,
2019-03-06,Organic,0.0
2019-03-06,Search,
2019-03-07,Search,
2019-03-08,Facebook,
2019-03-08,Search,
2019-03-09,Search,
2019-03-10,Search,
2019-03-11,Facebook,
2019-03-11,Search,
2019-03-12,Search,
2019-03-13,Email,0.05
2019-03-13,Organic,0.0
2019-03-13,Search,
2019-03-14,Organic,0.0
2019-03-14,Search,
2019-03-15,Search,
2019-03-16,Organic,0.0
2019-03-16,Search,
2019-03-17,Search,
2019-03-19,Facebook,
2019-03-19,Organic,0.0
2019-03-20,Search,
2019-03-21,Organic,0.0
2019-03-21,Search,
2019-03-22,Organic,0.0
2019-03-22,Search,
2019-03-23,Facebook,
2019-03-23,Search,
2019-03-24,Facebook,
2019-03-24,Search,
2019-03-25,Search,
2019-03-26,Search,
2019-03-27,Display,
2019-03-27,Search,
2019-03-30,Organic,0.0
2019-03-30,Search,
2019-03-31,Organic,0.0
2019-03-31,Search,
2019-04-01,Organic,0.0
2019-04-01,Search,
2019-04-02,Organic,0.0
2019-04-03,Search,
2019-04-05,Email,0.15
2019-04-05,Organic,0.0
2019-04-05,Search,
2019-04-06,Facebook,
2019-04-06,Search,
2019-04-07,Facebook,
2019-04-07,Search,
2019-04-08,Display,
2019-04-08,Email,0.05
2019-04-09,Organic,0.0
2019-04-10,Organic,0.0
2019-04-11,Organic,0.0
2019-04-11,Search,
2019-04-12,Organic,0.0
2019-04-12,Search,
2019-04-13,Organic,0.0
2019-04-13,Search,
2019-04-14,Search,
2019-04-15,Email,0.1
2019-04-15,Search,
2019-04-16,Search,
2019-04-17,Email,0.05
2019-04-17,Search,
2019-04-18,Search,
2019-04-19,Email,0.05
2019-04-19,Search,
2019-04-20,Email,0.2
2019-04-20,Search,
2019-04-21,Organic,0.0
2019-04-21,Search,
2019-04-22,Email,0.15
2019-04-22,Search,
2019-04-23,Search,
2019-04-24,Display,
2019-04-24,Email,0.05
2019-04-25,Facebook,
2019-04-25,Search,
2019-04-26,Search,
2019-04-27,Search,
2019-04-28,Organic,0.0
2019-04-28,Search,
2019-04-29,Email,0.05
2019-04-29,Organic,0.0
2019-04-29,Search,
2019-04-30,Email,0.05
2019-04-30,Search,
2019-05-01,Display,
2019-05-01,Email,0.05
2019-05-01,Search,
2019-05-02,Email,0.05
2019-05-03,Email,0.05
2019-05-03,Organic,0.0
2019-05-03,Search,
2019-05-04,Organic,0.0
2019-05-04,Search,
2019-05-05,Email,0.05
2019-05-05,Search,
2019-05-06,Search,
2019-05-07,Display,
2019-05-07,Organic,0.0
2019-05-07,Search,
2019-05-08,Search,
2019-05-09,Search,
2019-05-10,Email,0.15
2019-05-10,Search,
2019-05-11,Email,0.05
2019-05-11,Search,
2019-05-12,Search,
2019-05-13,Organic,0.0
2019-05-13,Search,
2019-05-14,Email,0.05
2019-05-14,Search,
2019-05-15,Organic,0.0
2019-05-15,Search,
2019-05-16,Organic,0.0
2019-05-16,Search,
2019-05-17,Organic,0.0
2019-05-17,Search,
2019-05-18,Organic,0.0
2019-05-18,Search,
2019-05-19,Search,
2019-05-20,Organic,0.0
2019-05-20,Search,
2019-05-21,Organic,0.0
2019-05-21,Search,
2019-05-22,Search,
2019-05-23,Search,
2019-05-24,Search,
2019-05-25,Email,0.1
2019-05-25,Facebook,
2019-05-25,Organic,0.0
2019-05-25,Search,
2019-05-26,Organic,0.0
2019-05-26,Search,
2019-05-27,Facebook,
2019-05-27,Search,
2019-05-28,Organic,0.0
2019-05-28,Search,
2019-05-29,Facebook,
2019-05-29,Organic,0.0
2019-05-29,Search,
2019-05-30,Search,
2019-05-31,Facebook,
2019-05-31,Search,
2019-06-01,Email,0.05
2019-06-01,Search,
2019-06-02,Search,
2019-06-03,Search,
2019-06-04,Organic,0.0
2019-06-04,Search,
2019-06-05,Organic,0.0
2019-06-05,Search,
2019-06-06,Display,
2019-06-06,Organic,0.0
2019-06-06,Search,
2019-06-07,Search,
2019-06-08,Organic,0.0
2019-06-08,Search,
2019-06-09,Facebook,
2019-06-09,Organic,0.0
2019-06-09,Search,
2019-06-10,Facebook,
2019-06-10,Organic,0.0
2019-06-10,Search,
2019-06-11,Email,0.05
2019-06-11,Facebook,
2019-06-11,Organic,0.0
2019-06-12,Search,
2019-06-13,Facebook,
2019-06-13,Organic,0.0
2019-06-13,Search,
2019-06-14,Email,0.05
2019-06-14,Organic,0.0
2019-06-14,Search,
2019-06-15,Facebook,
2019-06-15,Organic,0.0
2019-06-15,Search,
2019-06-16,Organic,0.0
2019-06-16,Search,
2019-06-17,Organic,0.0
2019-06-17,Search,
2019-06-18,Display,
2019-06-18,Email,0.15
2019-06-18,Organic,0.0
2019-06-18,Search,
2019-06-19,Email,0.1
2019-06-19,Facebook,
2019-06-19,Organic,0.0
2019-06-19,Search,
2019-06-20,Organic,0.0
2019-06-20,Search,
2019-06-21,Email,0.05
2019-06-21,Facebook,
2019-06-21,Organic,0.0
2019-06-21,Search,
2019-06-22,Email,0.05
2019-06-22,Organic,0.0
2019-06-22,Search,
2019-06-23,Organic,0.0
2019-06-23,Search,
2019-06-24,Email,0.05
2019-06-24,Search,
2019-06-25,Display,
2019-06-25,Search,
2019-06-26,Facebook,
2019-06-26,Organic,0.0
2019-06-26,Search,
2019-06-27,Email,0.05
2019-06-27,Facebook,
2019-06-27,Search,
2019-06-28,Display,
2019-06-28,Email,0.15
2019-06-28,Facebook,
2019-06-28,Organic,0.0
2019-06-28,Search,
2019-06-29,Organic,0.0
2019-06-29,Search,
2019-06-30,Facebook,
2019-06-30,Search,
2019-07-01,Email,0.05
2019-07-01,Search,
2019-07-02,Search,
2019-07-03,Organic,0.0
2019-07-03,Search,
2019-07-04,Facebook,
2019-07-04,Search,
2019-07-05,Search,
2019-07-06,Organic,0.0
2019-07-06,Search,
2019-07-07,Display,
2019-07-07,Facebook,
2019-07-07,Organic,0.0
2019-07-07,Search,
2019-07-08,Organic,0.0
2019-07-08,Search,
2019-07-09,Facebook,
2019-07-09,Organic,0.0
2019-07-09,Search,
2019-07-10,Organic,0.0
2019-07-10,Search,
2019-07-11,Organic,0.0
2019-07-11,Search,
2019-07-12,Display,
2019-07-12,Search,
2019-07-13,Search,
2019-07-14,Email,0.05
2019-07-14,Organic,0.0
2019-07-14,Search,
2019-07-15,Organic,0.0
2019-07-15,Search,
2019-07-16,Display,
2019-07-16,Facebook,
2019-07-16,Organic,0.0
2019-07-16,Search,
2019-07-17,Facebook,
2019-07-17,Organic,0.0
2019-07-17,Search,
2019-07-18,Organic,0.0
2019-07-18,Search,
2019-07-19,Email,0.05
2019-07-19,Facebook,
2019-07-19,Organic,0.0
2019-07-19,Search,
2019-07-20,Organic,0.0
2019-07-20,Search,
2019-07-21,Organic,0.0
2019-07-21,Search,
2019-07-22,Organic,0.0
2019-07-22,Search,
2019-07-23,Facebook,
2019-07-23,Search,
2019-07-24,Organic,0.0
2019-07-24,Search,
2019-07-25,Display,
2019-07-25,Email,0.15
2019-07-25,Organic,0.0
2019-07-25,Search,
2019-07-26,Search,
2019-07-27,Email,0.15
2019-07-27,Facebook,
2019-07-27,Organic,0.0
2019-07-27,Search,
2019-07-28,Search,
2019-07-29,Organic,0.0
2019-07-29,Search,
2019-07-30,Facebook,
2019-07-30,Search,
2019-07-31,Organic,0.0
2019-07-31,Search,
2019-08-01,Email,0.05
2019-08-01,Organic,0.0
2019-08-01,Search,
2019-08-02,Organic,0.0
2019-08-02,Search,
2019-08-03,Organic,0.0
2019-08-03,Search,
2019-08-04,Organic,0.0
2019-08-04,Search,
2019-08-05,Facebook,
2019-08-05,Organic,0.0
2019-08-05,Search,
2019-08-06,Organic,0.0
2019-08-06,Search,
2019-08-07,Facebook,
2019-08-07,Organic,0.0
2019-08-07,Search,
2019-08-08,Organic,0.0
2019-08-08,Search,
2019-08-09,Organic,0.0
2019-08-09,Search,
2019-08-10,Facebook,
2019-08-10,Organic,0.0
2019-08-10,Search,
2019-08-11,Facebook,
2019-08-11,Organic,0.0
2019-08-11,Search,
2019-08-12,Email,0.05
2019-08-12,Facebook,
2019-08-12,Organic,0.0
2019-08-12,Search,
2019-08-13,Facebook,
2019-08-13,Organic,0.0
2019-08-13,Search,
2019-08-14,Facebook,
2019-08-14,Search,
2019-08-15,Search,
2019-08-16,Organic,0.0
2019-08-16,Search,
2019-08-17,Organic,0.0
2019-08-17,Search,
2019-08-18,Organic,0.0
2019-08-18,Search,
2019-08-19,Facebook,
2019-08-19,Organic,0.0
2019-08-19,Search,
2019-08-20,Email,0.05
2019-08-20,Organic,0.0
2019-08-20,Search,
2019-08-21,Facebook,
2019-08-21,Search,
2019-08-22,Search,
2019-08-23,Display,
2019-08-23,Search,
2019-08-24,Search,
2019-08-25,Display,
2019-08-25,Email,0.1
2019-08-25,Search,
2019-08-26,Display,
2019-08-26,Email,0.05
2019-08-26,Organic,0.0
2019-08-26,Search,
2019-08-27,Email,0.05
2019-08-27,Facebook,
2019-08-27,Organic,0.0
2019-08-27,Search,
2019-08-28,Search,
2019-08-29,Search,
2019-08-30,Facebook,
2019-08-30,Search,
2019-08-31,Search,
2019-09-01,Facebook,
2019-09-01,Search,
2019-09-02,Email,0.1
2019-09-02,Facebook,
2019-09-02,Search,
2019-09-03,Display,
2019-09-03,Organic,0.0
2019-09-03,Search,
2019-09-04,Email,0.05
2019-09-04,Organic,0.0
2019-09-04,Search,
2019-09-05,Display,
2019-09-05,Email,0.05
2019-09-05,Facebook,
2019-09-05,Search,
2019-09-06,Facebook,
2019-09-06,Search,
2019-09-07,Display,
2019-09-07,Organic,0.0
2019-09-07,Search,
2019-09-08,Search,
2019-09-09,Display,
2019-09-09,Facebook,
2019-09-09,Search,
2019-09-10,Search,
2019-09-11,Email,0.05
2019-09-11,Search,
2019-09-12,Organic,0.0
2019-09-12,Search,
2019-09-13,Display,
2019-09-13,Organic,0.0
2019-09-13,Search,
2019-09-14,Organic,0.0
2019-09-14,Search,
2019-09-15,Search,
2019-09-16,Facebook,
2019-09-16,Organic,0.0
2019-09-16,Search,
2019-09-17,Email,0.05
2019-09-17,Search,
2019-09-18,Display,
2019-09-18,Organic,0.0
2019-09-18,Search,
2019-09-19,Facebook,
2019-09-19,Search,
2019-09-20,Facebook,
2019-09-20,Organic,0.0
2019-09-20,Search,
2019-09-21,Organic,0.0
2019-09-21,Search,
2019-09-22,Display,
2019-09-22,Organic,0.0
2019-09-22,Search,
2019-09-23,Search,
2019-09-24,Display,
2019-09-24,Organic,0.0
2019-09-24,Search,
2019-09-25,Email,0.1
2019-09-25,Organic,0.0
2019-09-25,Search,
2019-09-26,Facebook,
2019-09-26,Search,
2019-09-27,Display,
2019-09-27,Organic,0.0
2019-09-27,Search,
2019-09-28,Display,
2019-09-28,Email,0.1
2019-09-28,Organic,0.0
2019-09-28,Search,
2019-09-29,Display,
2019-09-29,Facebook,
2019-09-29,Organic,0.0
2019-09-29,Search,
2019-09-30,Search,
2019-10-01,Display,
2019-10-01,Organic,0.0
2019-10-01,Search,
2019-10-02,Display,
2019-10-02,Email,0.2
2019-10-02,Facebook,
2019-10-02,Organic,0.0
2019-10-02,Search,
2019-10-03,Email,0.1
2019-10-03,Facebook,
2019-10-03,Organic,0.0
2019-10-03,Search,
2019-10-04,Email,0.05
2019-10-04,Facebook,
2019-10-04,Organic,0.0
2019-10-04,Search,
2019-10-05,Email,0.1
2019-10-05,Organic,0.0
2019-10-05,Search,
2019-10-06,Display,
2019-10-06,Email,0.05
2019-10-06,Facebook,
2019-10-06,Organic,0.0
2019-10-06,Search,
2019-10-07,Email,0.15
2019-10-07,Search,
2019-10-08,Facebook,
2019-10-08,Organic,0.0
2019-10-08,Search,
2019-10-09,Email,0.25
2019-10-09,Facebook,
