date,country,device,channel,sessions
2025-01-01,FR,desktop,Paid,103
2025-01-01,FR,desktop,Organic,68
2025-01-01,FR,desktop,Email,26
2025-01-01,FR,desktop,Referral,26
2025-01-01,FR,desktop,Social,33
2025-01-01,FR,mobile,Paid,103
2025-01-01,FR,mobile,Organic,127
2025-01-01,FR,mobile,Email,32
2025-01-01,FR,mobile,Referral,19
2025-01-01,FR,mobile,Social,49
2025-01-01,DE,desktop,Paid,73
2025-01-01,DE,desktop,Organic,57
2025-01-01,DE,desktop,Email,21
2025-01-01,DE,desktop,Referral,10
2025-01-01,DE,desktop,Social,20
2025-01-01,DE,mobile,Paid,86
2025-01-01,DE,mobile,Organic,59
2025-01-01,DE,mobile,Email,26
2025-01-01,DE,mobile,Referral,15
2025-01-01,DE,mobile,Social,27
2025-01-01,ES,desktop,Paid,99
2025-01-01,ES,desktop,Organic,50
2025-01-01,ES,desktop,Email,17
2025-01-01,ES,desktop,Referral,9
2025-01-01,ES,desktop,Social,23
2025-01-01,ES,mobile,Paid,84
2025-01-01,ES,mobile,Organic,48
2025-01-01,ES,mobile,Email,22
2025-01-01,ES,mobile,Referral,14
2025-01-01,ES,mobile,Social,29
2025-01-01,IT,desktop,Paid,55
2025-01-01,IT,desktop,Organic,79
2025-01-01,IT,desktop,Email,15
2025-01-01,IT,desktop,Referral,9
2025-01-01,IT,desktop,Social,30
2025-01-01,IT,mobile,Paid,56
2025-01-01,IT,mobile,Organic,63
2025-01-01,IT,mobile,Email,11
2025-01-01,IT,mobile,Referral,11
2025-01-01,IT,mobile,Social,31
2025-01-01,UK,desktop,Paid,93
2025-01-01,UK,desktop,Organic,63
2025-01-01,UK,desktop,Email,18
2025-01-01,UK,desktop,Referral,14
2025-01-01,UK,desktop,Social,20
2025-01-01,UK,mobile,Paid,78
2025-01-01,UK,mobile,Organic,64
2025-01-01,UK,mobile,Email,29
2025-01-01,UK,mobile,Referral,20
2025-01-01,UK,mobile,Social,23
2025-01-02,FR,desktop,Paid,102
2025-01-02,FR,desktop,Organic,66
2025-01-02,FR,desktop,Email,19
2025-01-02,FR,desktop,Referral,22
2025-01-02,FR,desktop,Social,47
2025-01-02,FR,mobile,Paid,142
2025-01-02,FR,mobile,Organic,71
2025-01-02,FR,mobile,Email,25
2025-01-02,FR,mobile,Referral,24
2025-01-02,FR,mobile,Social,56
2025-01-02,DE,desktop,Paid,75
2025-01-02,DE,desktop,Organic,63
2025-01-02,DE,desktop,Email,15
2025-01-02,DE,desktop,Referral,12
2025-01-02,DE,desktop,Social,40
2025-01-02,DE,mobile,Paid,143
2025-01-02,DE,mobile,Organic,77
2025-01-02,DE,mobile,Email,32
2025-01-02,DE,mobile,Referral,22
2025-01-02,DE,mobile,Social,33
2025-01-02,ES,desktop,Paid,77
2025-01-02,ES,desktop,Organic,80
2025-01-02,ES,desktop,Email,17
2025-01-02,ES,desktop,Referral,20
2025-01-02,ES,desktop,Social,14
2025-01-02,ES,mobile,Paid,104
2025-01-02,ES,mobile,Organic,67
2025-01-02,ES,mobile,Email,19
2025-01-02,ES,mobile,Referral,17
2025-01-02,ES,mobile,Social,20
2025-01-02,IT,desktop,Paid,62
2025-01-02,IT,desktop,Organic,56
2025-01-02,IT,desktop,Email,23
2025-01-02,IT,desktop,Referral,11
2025-01-02,IT,desktop,Social,20
2025-01-02,IT,mobile,Paid,69
2025-01-02,IT,mobile,Organic,77
2025-01-02,IT,mobile,Email,21
2025-01-02,IT,mobile,Referral,13
2025-01-02,IT,mobile,Social,35
2025-01-02,UK,desktop,Paid,82
2025-01-02,UK,desktop,Organic,79
2025-01-02,UK,desktop,Email,16
2025-01-02,UK,desktop,Referral,14
2025-01-02,UK,desktop,Social,28
2025-01-02,UK,mobile,Paid,66
2025-01-02,UK,mobile,Organic,80
2025-01-02,UK,mobile,Email,25
2025-01-02,UK,mobile,Referral,19
2025-01-02,UK,mobile,Social,35
2025-01-03,FR,desktop,Paid,61
2025-01-03,FR,desktop,Organic,61
2025-01-03,FR,desktop,Email,19
2025-01-03,FR,desktop,Referral,14
2025-01-03,FR,desktop,Social,32
2025-01-03,FR,mobile,Paid,116
2025-01-03,FR,mobile,Organic,131
2025-01-03,FR,mobile,Email,26
2025-01-03,FR,mobile,Referral,22
2025-01-03,FR,mobile,Social,40
2025-01-03,DE,desktop,Paid,49
2025-01-03,DE,desktop,Organic,61
2025-01-03,DE,desktop,Email,19
2025-01-03,DE,desktop,Referral,29
2025-01-03,DE,desktop,Social,29
2025-01-03,DE,mobile,Paid,102
2025-01-03,DE,mobile,Organic,73
2025-01-03,DE,mobile,Email,17
2025-01-03,DE,mobile,Referral,25
2025-01-03,DE,mobile,Social,44
2025-01-03,ES,desktop,Paid,80
2025-01-03,ES,desktop,Organic,40
2025-01-03,ES,desktop,Email,22
2025-01-03,ES,desktop,Referral,9
2025-01-03,ES,desktop,Social,29
2025-01-03,ES,mobile,Paid,136
2025-01-03,ES,mobile,Organic,48
2025-01-03,ES,mobile,Email,16
2025-01-03,ES,mobile,Referral,16
2025-01-03,ES,mobile,Social,27
2025-01-03,IT,desktop,Paid,41
2025-01-03,IT,desktop,Organic,48
2025-01-03,IT,desktop,Email,11
2025-01-03,IT,desktop,Referral,13
2025-01-03,IT,desktop,Social,19
2025-01-03,IT,mobile,Paid,108
2025-01-03,IT,mobile,Organic,47
2025-01-03,IT,mobile,Email,16
2025-01-03,IT,mobile,Referral,18
2025-01-03,IT,mobile,Social,21
2025-01-03,UK,desktop,Paid,79
2025-01-03,UK,desktop,Organic,80
2025-01-03,UK,desktop,Email,12
2025-01-03,UK,desktop,Referral,15
2025-01-03,UK,desktop,Social,31
2025-01-03,UK,mobile,Paid,109
2025-01-03,UK,mobile,Organic,51
2025-01-03,UK,mobile,Email,15
2025-01-03,UK,mobile,Referral,20
2025-01-03,UK,mobile,Social,37
2025-01-04,FR,desktop,Paid,82
2025-01-04,FR,desktop,Organic,65
2025-01-04,FR,desktop,Email,15
2025-01-04,FR,desktop,Referral,16
2025-01-04,FR,desktop,Social,32
2025-01-04,FR,mobile,Paid,77
2025-01-04,FR,mobile,Organic,115
2025-01-04,FR,mobile,Email,25
2025-01-04,FR,mobile,Referral,13
2025-01-04,FR,mobile,Social,42
2025-01-04,DE,desktop,Paid,54
2025-01-04,DE,desktop,Organic,65
2025-01-04,DE,desktop,Email,22
2025-01-04,DE,desktop,Referral,11
2025-01-04,DE,desktop,Social,34
2025-01-04,DE,mobile,Paid,92
2025-01-04,DE,mobile,Organic,79
2025-01-04,DE,mobile,Email,32
2025-01-04,DE,mobile,Referral,15
2025-01-04,DE,mobile,Social,26
2025-01-04,ES,desktop,Paid,46
2025-01-04,ES,desktop,Organic,36
2025-01-04,ES,desktop,Email,13
2025-01-04,ES,desktop,Referral,12
2025-01-04,ES,desktop,Social,24
2025-01-04,ES,mobile,Paid,85
2025-01-04,ES,mobile,Organic,54
2025-01-04,ES,mobile,Email,24
2025-01-04,ES,mobile,Referral,13
2025-01-04,ES,mobile,Social,53
2025-01-04,IT,desktop,Paid,63
2025-01-04,IT,desktop,Organic,34
2025-01-04,IT,desktop,Email,10
2025-01-04,IT,desktop,Referral,12
2025-01-04,IT,desktop,Social,19
2025-01-04,IT,mobile,Paid,77
2025-01-04,IT,mobile,Organic,56
2025-01-04,IT,mobile,Email,15
2025-01-04,IT,mobile,Referral,10
2025-01-04,IT,mobile,Social,17
2025-01-04,UK,desktop,Paid,58
2025-01-04,UK,desktop,Organic,63
2025-01-04,UK,desktop,Email,16
2025-01-04,UK,desktop,Referral,9
2025-01-04,UK,desktop,Social,26
2025-01-04,UK,mobile,Paid,86
2025-01-04,UK,mobile,Organic,49
2025-01-04,UK,mobile,Email,20
2025-01-04,UK,mobile,Referral,16
2025-01-04,UK,mobile,Social,23
2025-01-05,FR,desktop,Paid,77
2025-01-05,FR,desktop,Organic,63
2025-01-05,FR,desktop,Email,22
2025-01-05,FR,desktop,Referral,18
2025-01-05,FR,desktop,Social,19
2025-01-05,FR,mobile,Paid,67
2025-01-05,FR,mobile,Organic,75
2025-01-05,FR,mobile,Email,23
2025-01-05,FR,mobile,Referral,19
2025-01-05,FR,mobile,Social,86
2025-01-05,DE,desktop,Paid,73
2025-01-05,DE,desktop,Organic,65
2025-01-05,DE,desktop,Email,19
2025-01-05,DE,desktop,Referral,15
2025-01-05,DE,desktop,Social,22
2025-01-05,DE,mobile,Paid,92
2025-01-05,DE,mobile,Organic,49
2025-01-05,DE,mobile,Email,17
2025-01-05,DE,mobile,Referral,13
2025-01-05,DE,mobile,Social,30
2025-01-05,ES,desktop,Paid,94
2025-01-05,ES,desktop,Organic,25
2025-01-05,ES,desktop,Email,15
2025-01-05,ES,desktop,Referral,7
2025-01-05,ES,desktop,Social,18
2025-01-05,ES,mobile,Paid,83
2025-01-05,ES,mobile,Organic,50
2025-01-05,ES,mobile,Email,11
2025-01-05,ES,mobile,Referral,10
2025-01-05,ES,mobile,Social,29
2025-01-05,IT,desktop,Paid,41
2025-01-05,IT,desktop,Organic,40
2025-01-05,IT,desktop,Email,12
2025-01-05,IT,desktop,Referral,8
2025-01-05,IT,desktop,Social,32
2025-01-05,IT,mobile,Paid,69
2025-01-05,IT,mobile,Organic,27
2025-01-05,IT,mobile,Email,15
2025-01-05,IT,mobile,Referral,10
2025-01-05,IT,mobile,Social,28
2025-01-05,UK,desktop,Paid,49
2025-01-05,UK,desktop,Organic,45
2025-01-05,UK,desktop,Email,16
2025-01-05,UK,desktop,Referral,14
2025-01-05,UK,desktop,Social,17
2025-01-05,UK,mobile,Paid,66
2025-01-05,UK,mobile,Organic,49
2025-01-05,UK,mobile,Email,15
2025-01-05,UK,mobile,Referral,22
2025-01-05,UK,mobile,Social,31
2025-01-06,FR,desktop,Paid,53
2025-01-06,FR,desktop,Organic,71
2025-01-06,FR,desktop,Email,30
2025-01-06,FR,desktop,Referral,19
2025-01-06,FR,desktop,Social,19
2025-01-06,FR,mobile,Paid,78
2025-01-06,FR,mobile,Organic,94
2025-01-06,FR,mobile,Email,18
2025-01-06,FR,mobile,Referral,19
2025-01-06,FR,mobile,Social,41
2025-01-06,DE,desktop,Paid,52
2025-01-06,DE,desktop,Organic,50
2025-01-06,DE,desktop,Email,7
2025-01-06,DE,desktop,Referral,10
2025-01-06,DE,desktop,Social,24
2025-01-06,DE,mobile,Paid,58
2025-01-06,DE,mobile,Organic,92
2025-01-06,DE,mobile,Email,13
2025-01-06,DE,mobile,Referral,14
2025-01-06,DE,mobile,Social,31
